# This file contains fun numbers famous in sci-fi, internet memes, pop culture, geek subcultures and computing, used by the fun_number classifier.
# Add, edit, or remove entries as you like!
# format: n<TAB>description (comments start with #)

-1	Largest negative integer.
0	Zero; cardinality of the empty set; the additive identity; was represented using a shell in the ancient Mayan civilisation.
3	Number of dimensions we can see; number of particles generations in the standard model; first Mersenne prime.
5	Number of Platonic solids; number of vertices of a pyramid; number of vertices in the smallest non-planar (K5); the cycle of fifths underlies to musical harmonies; fifth Fibonacci number.
7	Considered a lucky or sacred number in many cultures and religions, often exaggerated in memes and fiction. '7 of 9' is a Star Trek: Voyager character (not literal, but often referenced numerically).
13	13—unlucky, also the number of colonies in Battlestar Galactica.
14	Sum of the first three squares, i.e. a square-pyramidal number; open meandric number: the number of meanders in non-self-intersecting oriented curves; number of pounds in one stone; fourth Catalan number.
15	Magic constant in a 3×3 magic square; largest composite number with one group of that order; triangular, hexagonal, pentatope and Bell number.
16	Only number of the form x y=y x with x and y distinct integers; number of pawns in a chess set, and each player starts with 16 pieces; length of credit card numbers.
18	Only non-zero number that is twice the sum of its digits; sum of the first three pentagonal numbers, making it a “pentagonal pyramidal number”; lucky number and the value for life in Jewish numerology.
19	Maximum number of 4th powers needed to sum to any number; number of cells in the only non-trivial magic hexagon.
20	Number of rooted trees with 6 vertices; number of faces of an icosahedron and vertices of a dodecahedron; number of quarter or half turns required to optimally solve a Rubik’s cube in the worst case; base of the ancient Mayan number system; sum of the first 4 triangular numbers, and thus a tetrahedral number.
21	Magic number in Blackjack; number of dots on a 6-sided die; smallest number of distinct squares into which a square can be dissected; smallest Fibonacci number whose digits and digit sums are also Fibonacci.
22	Number of partitions of 8; number of Major Arcana cards in divinatory Tarot; pentagonal and a centred heptagonal number.
23	23 enigma (Illuminatus! Trilogy, Lost, pop culture mysticism).
24	Largest number divisible by all integers less than its square root; only non-trivial integer n with the property that 1 2+…+n 2 is a perfect square; number of hours in a day.
32	Smallest nontrivial fifth power; 32=1 1+2 2+3 3; sum of the totient functions of the first ten integers; freezing point of water at sea level in Fahrenheit.
33	Largest integer that isn’t the sum of distinct triangular numbers; number of vertebrae in a human spine; sum of the first four factorials.
34	Smallest number that has the same number of divisors as the previous and following number; magic number of the order four magic square; nontotient and noncototient number.
35	Number of different hexominoes; sum of the first five triangular numbers; highly cototient and tetrahedral number.
36	Smallest non-trivial number which is both square and triangular; sum of the cubes of the first three integers; the sum of the first 36 integers is 666.
37	Maximum number of 5th powers needed to sum to any number; lucky, irregular, unique and cuban prime; human body temperature in degrees Celsius; number of plays written by Shakespeare.
38	Magic number of an order 3 magic hexagon; number of slots in American Roulette; largest even number which cannot be written as the sum of two odd composite numbers.
39	Sum of five consecutive primes: 3 + 5 + 7 + 11 + 13; sum the first three powers of three: 3 + 9 + 27; number of steps in the title of a Hitchcock film.
40	Only number whose letters are in alphabetical order; Venus returns to the same point in the night sky every 40 years; octagonal number; number of days in Lent.
41	The polynomial n^2+n+41 gives primes for n<40; lucky number of Euler, and the largest such prime; number of Mozart’s last symphony.
42	The Answer to the Ultimate Question of Life, the Universe, and Everything (Douglas Adams, The Hitchhiker’s Guide to the Galaxy).
43	Lowest atomic number of any element without stable isotopes; smallest prime that is not a Chen prime; smallest prime number expressible as the sum of two, three, four or five primes.
47	Star Trek writers' in-joke: number 47 appears frequently in the franchise.
54	Studio 54 (pop culture/celebrity hub).
69	Pop culture meme number (humor, innuendo). Also the largest factorial that fit calculators with 2-digit exponent: 70! ≈ 1.198×10^100: overflowed.
73	“The best number” (Sheldon, Big Bang Theory): 21st prime; 7×3=21, and 12 reversed is 21.
75	V.23/Minitel upstream serial baudrate (the famous 1200/75 split).
88	88 miles per hour—the speed needed for time travel (Back to the Future).
94	Number of graphic non-whitespace characters in ASCII; smith number, since the sum of its digits equals the sum of its prime factors; 94! – 1 is prime.
98	The decimal expansion of its reciprocal starts with the powers of two: 1/98=0.010204081632….
99	Agent 99 (Get Smart, classic spy comedy).
100	Boiling point of water in Celsius; denoted by the letter C in Roman numerals; sum of the first four cubes: 100=1^3+2^3+3^3+4^3.
101	Room 101 (Orwell's 1984); also 'Intro 101' as a code for basics in US education.
108	Number of heptominoes (one of which contains a whole); sacred number in the Dharmic Religions.
110	Teletype/ASR-33 era terminal baudrate; classic vintage UNIX console speed.
111	Magic constant of the smallest magic square composed only of prime numbers and 1; magic constant of a 6×6 magic square.
112	The emergency telephone number throughout the European Union and many other countries worldwide; equivalent to 911 in the US/Canada.
113	A113 was the Pixar animation classroom at the California Institute of the Arts.
118	Smallest number which can be written as the sum of three integers in four different ways, so that the product of every triple is the same
128	Smallest number that is the product of 7 prime factors (2 7); largest number that is not the sum of distinct squares; power of 2, all of whose digits are powers of 2
132	Smallest number that is the sum of all 2-digit numbers made from its digits; sixth Catalan number
137	Fine-structure constant — numerology or nature’s favorite number?
153	Sum of the cubes of its integers: 153=1 3+5 3+3 3; sum of the first 5 factorials and the first 17 natural numbers.
212	The boiling point of water in Fahrenheit.
221	221B Baker Street (Sherlock Holmes, referenced in Doctor Who and elsewhere).
255	largest number that can be represented using an 8-bit unsigned integer
300	Bell 103 acoustic-coupler modem baudrate—early BBS/‘WarGames’ dial-up vibes.
314	Pi (3.14), beloved in science/math pop culture.
327	Docking Bay 327 in Star Wars: A New Hope (Millennium Falcon arrival).
404	A common meme for 'not found' errors or missing content.
420	Internet meme and counterculture reference (esp. 4:20 PM as 'weed time').
